ts,ms_played,track,artist,album,uri,UniqueID,track_uri
2015-01-02T22:06:23Z,323515,Burnin,Calvin Harris,Motion,spotify:track:5lByoyTJti3jYo22bLQKOH,Calvin Harris:Burnin,5lByoyTJti3jYo22bLQKOH
2015-01-02T22:11:46Z,469341,Outside (feat. Ellie Goulding),Calvin Harris,Motion,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,Calvin Harris:Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb
2015-03-20T23:46:24Z,131123,One Last Time,Ariana Grande,My Everything,spotify:track:1CAksvEO6oRHd9bBKWAfuY,Ariana Grande:One Last Time,1CAksvEO6oRHd9bBKWAfuY
2015-03-20T23:46:46Z,21470,Be My Baby,Ariana Grande,My Everything,spotify:track:2gijedBBM7NHH0tKO4DEUN,Ariana Grande:Be My Baby,2gijedBBM7NHH0tKO4DEUN
2015-03-20T23:46:55Z,7507,Best Mistake,Ariana Grande,My Everything,spotify:track:6ARSouo2qnKWkIZSlkudiD,Ariana Grande:Best Mistake,6ARSouo2qnKWkIZSlkudiD
2015-03-20T23:48:22Z,86844,One Last Time,Ariana Grande,My Everything,spotify:track:1CAksvEO6oRHd9bBKWAfuY,Ariana Grande:One Last Time,1CAksvEO6oRHd9bBKWAfuY
2015-03-20T23:49:01Z,38180,Sugar,Maroon 5,V,spotify:track:5eWgDlp3k6Tb5RD8690s6I,Maroon 5:Sugar,5eWgDlp3k6Tb5RD8690s6I
2015-03-20T23:51:41Z,92191,All of Me,John Legend,Love In The Future (Expanded Edition),spotify:track:3U4isOIWM3VvDubwSI3y7a,John Legend:All of Me,3U4isOIWM3VvDubwSI3y7a
2015-03-20T23:54:51Z,0,FourFiveSeconds,Rihanna,FourFiveSeconds,spotify:track:78TTtXnFQPzwqlbtbwqN0y,Rihanna:FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y
2015-03-20T23:55:19Z,24074,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Fifty Shades Of Grey,spotify:track:1ip2IGDWMrUmlaepEbWlL8,"Ellie Goulding:Love Me Like You Do - From ""Fifty Shades Of Grey""",1ip2IGDWMrUmlaepEbWlL8
2015-03-20T23:59:54Z,256466,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson:Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS
2015-03-21T00:00:15Z,19399,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,Earned It (Fifty Shades Of Grey),spotify:track:2PIvq1pGrUjY007X5y1UpM,"The Weeknd:Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM
2015-03-21T00:00:17Z,1261,Take Me to Church,Hozier,Hozier,spotify:track:0aOluBqXYd0rFSCsgDyAWX,Hozier:Take Me to Church,0aOluBqXYd0rFSCsgDyAWX
2015-03-21T00:00:19Z,854,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,Cheerleader,spotify:track:6fQcqEcXfnY0L6VwS0c3gT,OMI:Cheerleader (Felix Jaehn Remix) - Radio Edit,6fQcqEcXfnY0L6VwS0c3gT
2015-03-21T00:00:21Z,1181,Elastic Heart,Sia,1000 Forms Of Fear,spotify:track:6kwAbEjseqBob48jCus7Sz,Sia:Elastic Heart,6kwAbEjseqBob48jCus7Sz
2015-03-21T00:01:20Z,57947,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,Cheerleader,spotify:track:6fQcqEcXfnY0L6VwS0c3gT,OMI:Cheerleader (Felix Jaehn Remix) - Radio Edit,6fQcqEcXfnY0L6VwS0c3gT
2015-03-21T00:02:22Z,61539,Lean On,Major Lazer,Lean On,spotify:track:4KcVVhAaHxqtX2ANt4b3tc,Major Lazer:Lean On,4KcVVhAaHxqtX2ANt4b3tc
2015-03-21T00:02:44Z,15051,I'm Not The Only One,Sam Smith,In The Lonely Hour,spotify:track:0fioLzGM8ngbD1w6fMmm45,Sam Smith:I'm Not The Only One,0fioLzGM8ngbD1w6fMmm45
2015-03-21T00:04:53Z,126150,Lean On,Major Lazer,Lean On,spotify:track:4KcVVhAaHxqtX2ANt4b3tc,Major Lazer:Lean On,4KcVVhAaHxqtX2ANt4b3tc
2015-03-21T00:05:02Z,8813,Break the Rules,Charli XCX,SUCKER,spotify:track:2Uxn9uOgMUcGyy25SaMdq6,Charli XCX:Break the Rules,2Uxn9uOgMUcGyy25SaMdq6
2015-03-21T00:05:06Z,2632,Outside (feat. Ellie Goulding),Calvin Harris,Motion,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,Calvin Harris:Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb
2015-03-21T00:05:48Z,39359,I Really Like You,Carly Rae Jepsen,I Really Like You,spotify:track:3O09PoBmmhotSUxLZfcRP0,Carly Rae Jepsen:I Really Like You,3O09PoBmmhotSUxLZfcRP0
2015-03-21T00:07:20Z,91919,Break the Rules,Charli XCX,SUCKER,spotify:track:2Uxn9uOgMUcGyy25SaMdq6,Charli XCX:Break the Rules,2Uxn9uOgMUcGyy25SaMdq6
2015-03-21T00:07:29Z,7533,Take Me to Church,Hozier,Hozier,spotify:track:0aOluBqXYd0rFSCsgDyAWX,Hozier:Take Me to Church,0aOluBqXYd0rFSCsgDyAWX
2015-03-21T00:08:05Z,35723,Thinking out Loud,Ed Sheeran,x,spotify:track:34gCuhDGsG4bRPIf9bb02f,Ed Sheeran:Thinking out Loud,34gCuhDGsG4bRPIf9bb02f
2015-03-21T00:09:22Z,75913,FourFiveSeconds,Rihanna,FourFiveSeconds,spotify:track:78TTtXnFQPzwqlbtbwqN0y,Rihanna:FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y
2015-03-21T00:10:55Z,91506,Cheese is Everywhere: Describing a Night Out,Aziz Ansari,Buried Alive,spotify:track:4MnWiTb7X6nbqxF8EtDzTg,Aziz Ansari:Cheese is Everywhere: Describing a Night Out,4MnWiTb7X6nbqxF8EtDzTg
2015-03-21T00:12:14Z,77466,A Chunk on Marriage,Aziz Ansari,Buried Alive,spotify:track:77FJtn1xuDsFtyDiMYjnMs,Aziz Ansari:A Chunk on Marriage,77FJtn1xuDsFtyDiMYjnMs
2015-03-21T00:13:10Z,55075,C.U.B.A,Calvin Harris,C.U.B.A,spotify:track:1ZoHuLxbQho7N5ioKA6Hx1,Calvin Harris:C.U.B.A,1ZoHuLxbQho7N5ioKA6Hx1
2015-03-21T00:13:25Z,14472,Intro,The xx,xx,spotify:track:0DAsxISzun85PbsqAfIzeC,The xx:Intro,0DAsxISzun85PbsqAfIzeC
2015-03-21T00:14:19Z,52703,I Remember - Radio Edit,deadmau5,I Remember,spotify:track:2UXTJSJAYexe3PEPnLr0A5,deadmau5:I Remember - Radio Edit,2UXTJSJAYexe3PEPnLr0A5
2015-03-21T00:14:27Z,7017,Summer - Diplo & Grandtheft Remix,Calvin Harris,Summer (Remixes),spotify:track:6zonhXHUitdQqZTqylx7Jf,Calvin Harris:Summer - Diplo & Grandtheft Remix,6zonhXHUitdQqZTqylx7Jf
2015-03-21T00:15:14Z,46896,TurnUp,Gent & Jawns,All Trap Music,spotify:track:20Xwgtz25c8XBV46z1GYs4,Gent & Jawns:TurnUp,20Xwgtz25c8XBV46z1GYs4
2015-03-21T00:16:04Z,16644,Goodbye,Who Is Fancy,Goodbye,spotify:track:6K5xY7EabiBLjd2HuBQIak,Who Is Fancy:Goodbye,6K5xY7EabiBLjd2HuBQIak
2015-03-21T00:16:16Z,10257,Heartbeat Song,Kelly Clarkson,Piece By Piece (Deluxe Version),spotify:track:7FC9Lng8iXU081lbigu8m8,Kelly Clarkson:Heartbeat Song,7FC9Lng8iXU081lbigu8m8
2015-03-21T00:18:44Z,147614,Goodbye,Who Is Fancy,Goodbye,spotify:track:6K5xY7EabiBLjd2HuBQIak,Who Is Fancy:Goodbye,6K5xY7EabiBLjd2HuBQIak
2015-03-21T00:19:35Z,49542,Trap Queen,Fetty Wap,Trap Queen,spotify:track:3twQx3psUMJKj4wna5d1zU,Fetty Wap:Trap Queen,3twQx3psUMJKj4wna5d1zU
2015-03-21T01:41:33Z,39706,Chandelier,Sia,1000 Forms Of Fear,spotify:track:4VrWlk8IQxevMvERoX08iC,Sia:Chandelier,4VrWlk8IQxevMvERoX08iC
2015-03-21T01:41:53Z,25867,Time of Our Lives,Pitbull,Globalization,spotify:track:2bJvI42r8EF3wxjOuDav4r,Pitbull:Time of Our Lives,2bJvI42r8EF3wxjOuDav4r
2015-03-21T01:41:54Z,5294,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson:Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS
2015-03-21T01:41:55Z,3065,Goodbye,Who Is Fancy,Goodbye,spotify:track:6K5xY7EabiBLjd2HuBQIak,Who Is Fancy:Goodbye,6K5xY7EabiBLjd2HuBQIak
2015-03-21T01:42:01Z,9752,Somebody,Natalie La Rose,Somebody,spotify:track:7ioiB40H9xKs04QtIso2I3,Natalie La Rose:Somebody,7ioiB40H9xKs04QtIso2I3
2015-03-21T01:42:03Z,5619,One Last Time,Ariana Grande,My Everything,spotify:track:7xoUc6faLbCqZO6fQEYprd,Ariana Grande:One Last Time,7xoUc6faLbCqZO6fQEYprd
2015-03-21T01:45:55Z,235493,Sugar,Maroon 5,V,spotify:track:5eWgDlp3k6Tb5RD8690s6I,Maroon 5:Sugar,5eWgDlp3k6Tb5RD8690s6I
2015-03-28T20:33:05Z,222128,Trap Queen,Fetty Wap,Trap Queen,spotify:track:3twQx3psUMJKj4wna5d1zU,Fetty Wap:Trap Queen,3twQx3psUMJKj4wna5d1zU
2015-03-28T20:49:04Z,23684,Break Free,Ariana Grande,My Everything,spotify:track:3emCzvUm5FsQnofdNQL73a,Ariana Grande:Break Free,3emCzvUm5FsQnofdNQL73a
2015-03-28T20:49:15Z,15000,Santa Tell Me,Ariana Grande,Santa Tell Me,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Ariana Grande:Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb
2015-03-28T20:50:50Z,100124,Love Me Harder,Ariana Grande,My Everything,spotify:track:0e5q6Z47J4oU5S0gvfjKpi,Ariana Grande:Love Me Harder,0e5q6Z47J4oU5S0gvfjKpi
2015-03-28T20:54:03Z,197266,One Last Time,Ariana Grande,My Everything,spotify:track:7xoUc6faLbCqZO6fQEYprd,Ariana Grande:One Last Time,7xoUc6faLbCqZO6fQEYprd
2015-05-28T21:48:31Z,189906,Somebody,Natalie La Rose,Somebody,spotify:track:7ioiB40H9xKs04QtIso2I3,Natalie La Rose:Somebody,7ioiB40H9xKs04QtIso2I3
2015-05-28T21:51:38Z,187803,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",spotify:track:0HCVUpGn7trUlx9rOlxZIK,"A$AP Rocky:Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",0HCVUpGn7trUlx9rOlxZIK
2015-05-28T21:51:39Z,743,Get On Your Knees,Nicki Minaj,The Pinkprint,spotify:track:049V1aSofNvW906vGZgFsD,Nicki Minaj:Get On Your Knees,049V1aSofNvW906vGZgFsD
2015-05-28T21:53:05Z,86285,Get On Your Knees,Nicki Minaj,The Pinkprint,spotify:track:049V1aSofNvW906vGZgFsD,Nicki Minaj:Get On Your Knees,049V1aSofNvW906vGZgFsD
2015-05-28T21:53:18Z,12678,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,Earned It (Fifty Shades Of Grey),spotify:track:2PIvq1pGrUjY007X5y1UpM,"The Weeknd:Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM
2015-05-28T21:53:26Z,7563,My Everything,Ariana Grande,My Everything,spotify:track:225VaBkbh5xUoVexDhvaRJ,Ariana Grande:My Everything,225VaBkbh5xUoVexDhvaRJ
2015-05-28T21:53:51Z,25495,You Don't Know Me,Ariana Grande,My Everything,spotify:track:3hgl7EQwTutSm6PESsB7gZ,Ariana Grande:You Don't Know Me,3hgl7EQwTutSm6PESsB7gZ
2015-05-28T21:54:53Z,62508,Get On Your Knees,Nicki Minaj,The Pinkprint,spotify:track:049V1aSofNvW906vGZgFsD,Nicki Minaj:Get On Your Knees,049V1aSofNvW906vGZgFsD
2015-05-28T21:54:55Z,2832,Heaven,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:0fYwfZcgijhIOyXn0RVPwq,Beyoncé:Heaven,0fYwfZcgijhIOyXn0RVPwq
2015-05-28T21:56:07Z,72864,Superpower (feat. Frank Ocean),Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:49sXkAcR5LvOrtq5Qcn5cf,Beyoncé:Superpower (feat. Frank Ocean),49sXkAcR5LvOrtq5Qcn5cf
2015-05-28T21:56:11Z,4643,XO,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:40xhyfAPDoMtv494MfPevP,Beyoncé:XO,40xhyfAPDoMtv494MfPevP
2015-05-28T21:57:42Z,91811,Blue (feat. Blue Ivy),Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:2LjkT4gu5wO4JdeEYl0fMY,Beyoncé:Blue (feat. Blue Ivy),2LjkT4gu5wO4JdeEYl0fMY
2015-05-28T22:02:17Z,131192,Get On Your Knees,Nicki Minaj,The Pinkprint,spotify:track:049V1aSofNvW906vGZgFsD,Nicki Minaj:Get On Your Knees,049V1aSofNvW906vGZgFsD
2015-05-28T22:02:17Z,2461,Want Some More,Nicki Minaj,The Pinkprint,spotify:track:6cJ7CoT1gJ89Xy7NJXIInt,Nicki Minaj:Want Some More,6cJ7CoT1gJ89Xy7NJXIInt
2015-05-29T21:20:08Z,246455,Get On Your Knees,Nicki Minaj,The Pinkprint,spotify:track:049V1aSofNvW906vGZgFsD,Nicki Minaj:Get On Your Knees,049V1aSofNvW906vGZgFsD
2015-05-29T21:21:10Z,6037,Win Again,Nicki Minaj,The Pinkprint,spotify:track:1o6M2GxY3ITaFzOD3XEaFB,Nicki Minaj:Win Again,1o6M2GxY3ITaFzOD3XEaFB
2015-05-29T21:21:12Z,2600,Shanghai,Nicki Minaj,The Pinkprint,spotify:track:1cXeMu9DUAaa6xjkp39hJJ,Nicki Minaj:Shanghai,1cXeMu9DUAaa6xjkp39hJJ
2015-05-29T21:21:13Z,2600,Want Some More,Nicki Minaj,The Pinkprint,spotify:track:6cJ7CoT1gJ89Xy7NJXIInt,Nicki Minaj:Want Some More,6cJ7CoT1gJ89Xy7NJXIInt
2015-05-29T21:21:15Z,2600,Feeling Myself,Nicki Minaj,The Pinkprint,spotify:track:6ORDoQ6jxdfqNyqvUKDHF0,Nicki Minaj:Feeling Myself,6ORDoQ6jxdfqNyqvUKDHF0
2015-05-29T21:21:16Z,1393,The Crying Game,Nicki Minaj,The Pinkprint,spotify:track:6aphz6iYE6b4gJ4vsbPJVm,Nicki Minaj:The Crying Game,6aphz6iYE6b4gJ4vsbPJVm
2015-05-29T21:21:18Z,1114,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-05-29T21:21:19Z,325,The Night Is Still Young,Nicki Minaj,The Pinkprint,spotify:track:3idU3rXoFCEFhAAbPGbwht,Nicki Minaj:The Night Is Still Young,3idU3rXoFCEFhAAbPGbwht
2015-05-29T21:21:21Z,2136,Trini Dem Girls,Nicki Minaj,The Pinkprint,spotify:track:2kSzO9N1NoDFGAlMgvQM6B,Nicki Minaj:Trini Dem Girls,2kSzO9N1NoDFGAlMgvQM6B
2015-05-29T21:21:23Z,2739,Know Yourself,Drake,If You're Reading This It's Too Late,spotify:track:5InOp6q2vvx0fShv3bzFLZ,Drake:Know Yourself,5InOp6q2vvx0fShv3bzFLZ
2015-05-29T21:21:37Z,12889,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen,spotify:track:5b2bu6yyATC1zMXDGScJ2d,"David Guetta:Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",5b2bu6yyATC1zMXDGScJ2d
2015-05-29T21:21:38Z,2089,Partition,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:5hgnY0mVcVetszbb85qeDg,Beyoncé:Partition,5hgnY0mVcVetszbb85qeDg
2015-05-29T21:21:39Z,1486,Trini Dem Girls,Nicki Minaj,The Pinkprint,spotify:track:2kSzO9N1NoDFGAlMgvQM6B,Nicki Minaj:Trini Dem Girls,2kSzO9N1NoDFGAlMgvQM6B
2015-05-29T21:21:41Z,1486,Shanghai,Nicki Minaj,The Pinkprint,spotify:track:1cXeMu9DUAaa6xjkp39hJJ,Nicki Minaj:Shanghai,1cXeMu9DUAaa6xjkp39hJJ
2015-05-29T21:21:42Z,2414,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,Earned It (Fifty Shades Of Grey),spotify:track:2PIvq1pGrUjY007X5y1UpM,"The Weeknd:Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM
2015-05-29T21:21:43Z,1114,Flawless Remix (feat. Nicki Minaj),Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:0zVMzJ37VQNFUNvdxxat2E,Beyoncé:Flawless Remix (feat. Nicki Minaj),0zVMzJ37VQNFUNvdxxat2E
2015-05-29T21:21:44Z,0,You Don't Know Me,Ariana Grande,My Everything,spotify:track:3hgl7EQwTutSm6PESsB7gZ,Ariana Grande:You Don't Know Me,3hgl7EQwTutSm6PESsB7gZ
2015-05-29T21:21:46Z,1532,Want Some More,Nicki Minaj,The Pinkprint,spotify:track:6cJ7CoT1gJ89Xy7NJXIInt,Nicki Minaj:Want Some More,6cJ7CoT1gJ89Xy7NJXIInt
2015-05-29T21:21:49Z,2568,You Don't Know Me,Ariana Grande,My Everything,spotify:track:3hgl7EQwTutSm6PESsB7gZ,Ariana Grande:You Don't Know Me,3hgl7EQwTutSm6PESsB7gZ
2015-05-29T21:21:50Z,1671,Partition,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:5hgnY0mVcVetszbb85qeDg,Beyoncé:Partition,5hgnY0mVcVetszbb85qeDg
2015-05-29T21:25:45Z,233719,You Don't Know Me,Ariana Grande,My Everything,spotify:track:3hgl7EQwTutSm6PESsB7gZ,Ariana Grande:You Don't Know Me,3hgl7EQwTutSm6PESsB7gZ
2015-05-29T21:31:04Z,319466,Partition,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:5hgnY0mVcVetszbb85qeDg,Beyoncé:Partition,5hgnY0mVcVetszbb85qeDg
2015-05-29T21:34:53Z,227559,The Night Is Still Young,Nicki Minaj,The Pinkprint,spotify:track:3idU3rXoFCEFhAAbPGbwht,Nicki Minaj:The Night Is Still Young,3idU3rXoFCEFhAAbPGbwht
2015-05-30T18:20:01Z,1021,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,Earned It (Fifty Shades Of Grey),spotify:track:2PIvq1pGrUjY007X5y1UpM,"The Weeknd:Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM
2015-05-30T18:20:06Z,5479,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON:Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA
2015-05-30T18:22:24Z,138669,Talking Body,Tove Lo,Queen Of The Clouds,spotify:track:2tpfxAXiI52znho4WE3XFA,Tove Lo:Talking Body,2tpfxAXiI52znho4WE3XFA
2015-05-30T18:26:15Z,229626,Want Some More,Nicki Minaj,The Pinkprint,spotify:track:6cJ7CoT1gJ89Xy7NJXIInt,Nicki Minaj:Want Some More,6cJ7CoT1gJ89Xy7NJXIInt
2015-05-30T18:35:03Z,497094,The Crying Game,Nicki Minaj,The Pinkprint,spotify:track:6aphz6iYE6b4gJ4vsbPJVm,Nicki Minaj:The Crying Game,6aphz6iYE6b4gJ4vsbPJVm
2015-05-30T18:39:55Z,250453,Win Again,Nicki Minaj,The Pinkprint,spotify:track:1o6M2GxY3ITaFzOD3XEaFB,Nicki Minaj:Win Again,1o6M2GxY3ITaFzOD3XEaFB
2015-05-30T19:02:11Z,301485,Trini Dem Girls,Nicki Minaj,The Pinkprint,spotify:track:2kSzO9N1NoDFGAlMgvQM6B,Nicki Minaj:Trini Dem Girls,2kSzO9N1NoDFGAlMgvQM6B
2015-05-30T19:05:45Z,182666,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-05-30T19:10:20Z,275840,Know Yourself,Drake,If You're Reading This It's Too Late,spotify:track:5InOp6q2vvx0fShv3bzFLZ,Drake:Know Yourself,5InOp6q2vvx0fShv3bzFLZ
2015-05-30T19:11:39Z,78854,Shanghai,Nicki Minaj,The Pinkprint,spotify:track:1cXeMu9DUAaa6xjkp39hJJ,Nicki Minaj:Shanghai,1cXeMu9DUAaa6xjkp39hJJ
2015-05-30T19:11:46Z,7476,7/11,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:02M6vucOvmRfMxTXDUwRXu,Beyoncé:7/11,02M6vucOvmRfMxTXDUwRXu
2015-05-30T19:16:28Z,281320,Now & Forever,Drake,If You're Reading This It's Too Late,spotify:track:4zLOwx1yRJXWkHKt1XzF1p,Drake:Now & Forever,4zLOwx1yRJXWkHKt1XzF1p
2015-05-30T20:07:27Z,9122,Blow,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:6wwrYruEgWlowPDZMq5116,Beyoncé:Blow,6wwrYruEgWlowPDZMq5116
2015-05-30T20:07:32Z,4643,Know Yourself,Drake,If You're Reading This It's Too Late,spotify:track:5InOp6q2vvx0fShv3bzFLZ,Drake:Know Yourself,5InOp6q2vvx0fShv3bzFLZ
2015-05-30T20:10:28Z,176561,Lean On,Major Lazer,Lean On,spotify:track:4KcVVhAaHxqtX2ANt4b3tc,Major Lazer:Lean On,4KcVVhAaHxqtX2ANt4b3tc
2015-05-30T21:40:24Z,2042,Win Again,Nicki Minaj,The Pinkprint,spotify:track:1o6M2GxY3ITaFzOD3XEaFB,Nicki Minaj:Win Again,1o6M2GxY3ITaFzOD3XEaFB
2015-05-30T21:40:25Z,2182,The Crying Game,Nicki Minaj,The Pinkprint,spotify:track:6aphz6iYE6b4gJ4vsbPJVm,Nicki Minaj:The Crying Game,6aphz6iYE6b4gJ4vsbPJVm
2015-05-30T21:40:29Z,4086,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-05-30T21:40:30Z,2229,Know Yourself,Drake,If You're Reading This It's Too Late,spotify:track:5InOp6q2vvx0fShv3bzFLZ,Drake:Know Yourself,5InOp6q2vvx0fShv3bzFLZ
2015-05-30T21:40:39Z,9752,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-05-30T21:40:41Z,2136,Win Again,Nicki Minaj,The Pinkprint,spotify:track:1o6M2GxY3ITaFzOD3XEaFB,Nicki Minaj:Win Again,1o6M2GxY3ITaFzOD3XEaFB
2015-05-30T21:40:42Z,1950,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-05-30T21:40:43Z,2043,Want Some More,Nicki Minaj,The Pinkprint,spotify:track:6cJ7CoT1gJ89Xy7NJXIInt,Nicki Minaj:Want Some More,6cJ7CoT1gJ89Xy7NJXIInt
2015-05-30T21:40:45Z,1811,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-05-30T21:40:46Z,1160,You Don't Know Me,Ariana Grande,My Everything,spotify:track:3hgl7EQwTutSm6PESsB7gZ,Ariana Grande:You Don't Know Me,3hgl7EQwTutSm6PESsB7gZ
2015-05-30T21:44:55Z,182666,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-06-03T00:14:37Z,8612,You Don't Know Me,Ariana Grande,My Everything,spotify:track:3hgl7EQwTutSm6PESsB7gZ,Ariana Grande:You Don't Know Me,3hgl7EQwTutSm6PESsB7gZ
2015-06-03T00:14:38Z,2647,Blow,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:6wwrYruEgWlowPDZMq5116,Beyoncé:Blow,6wwrYruEgWlowPDZMq5116
2015-06-03T00:14:47Z,8777,Partition,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:5hgnY0mVcVetszbb85qeDg,Beyoncé:Partition,5hgnY0mVcVetszbb85qeDg
2015-06-03T00:14:48Z,2043,Now & Forever,Drake,If You're Reading This It's Too Late,spotify:track:4zLOwx1yRJXWkHKt1XzF1p,Drake:Now & Forever,4zLOwx1yRJXWkHKt1XzF1p
2015-06-03T00:14:50Z,2786,Partition,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:5hgnY0mVcVetszbb85qeDg,Beyoncé:Partition,5hgnY0mVcVetszbb85qeDg
2015-06-03T00:14:52Z,2414,Flawless Remix (feat. Nicki Minaj),Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:0zVMzJ37VQNFUNvdxxat2E,Beyoncé:Flawless Remix (feat. Nicki Minaj),0zVMzJ37VQNFUNvdxxat2E
2015-06-03T00:14:55Z,3250,Partition,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:5hgnY0mVcVetszbb85qeDg,Beyoncé:Partition,5hgnY0mVcVetszbb85qeDg
2015-06-03T00:14:56Z,2182,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-06-03T00:20:16Z,319466,Partition,Beyoncé,BEYONCÉ [Platinum Edition],spotify:track:5hgnY0mVcVetszbb85qeDg,Beyoncé:Partition,5hgnY0mVcVetszbb85qeDg
2015-06-03T00:23:18Z,182666,Four Door Aventador,Nicki Minaj,The Pinkprint,spotify:track:5vgwIOv7Rh0clPmOeKXkmS,Nicki Minaj:Four Door Aventador,5vgwIOv7Rh0clPmOeKXkmS
2015-06-03T00:27:31Z,252226,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,Earned It (Fifty Shades Of Grey),spotify:track:2PIvq1pGrUjY007X5y1UpM,"The Weeknd:Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM
