ts,ms_played,track,artist,album,uri,UniqueID,track_uri
2015-10-31T02:07:09Z,0,Four Pink Walls,Alessia Cara,Four Pink Walls,spotify:track:5cjHdvKZ0U6L4ideC87aDG,Alessia Cara:Four Pink Walls,5cjHdvKZ0U6L4ideC87aDG
2015-10-31T02:10:21Z,190595,Right Hand,Drake,Right Hand,spotify:track:3lSR267IJfT54p0Gfuw7mi,Drake:Right Hand,3lSR267IJfT54p0Gfuw7mi
2015-10-31T02:14:48Z,267023,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-31T02:18:10Z,199453,Here,Alessia Cara,Four Pink Walls,spotify:track:7IUF0dDdzguaFUwwA9BgDu,Alessia Cara:Here,7IUF0dDdzguaFUwwA9BgDu
2015-10-31T13:24:19Z,336099,Bed Of Lies,Nicki Minaj,The Pinkprint,spotify:track:490r1lg2turCiWsPAAxVBP,Nicki Minaj:Bed Of Lies,490r1lg2turCiWsPAAxVBP
2015-10-31T13:24:33Z,13742,Marilyn Monroe,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:4VRAVd6drMjJO4AvRLrd7w,Nicki Minaj:Marilyn Monroe,4VRAVd6drMjJO4AvRLrd7w
2015-10-31T13:24:35Z,1950,Adore,Cashmere Cat,Adore,spotify:track:34HwOOG2tTiz6tAN9h83YT,Cashmere Cat:Adore,34HwOOG2tTiz6tAN9h83YT
2015-10-31T13:24:36Z,1114,The Crying Game,Nicki Minaj,The Pinkprint,spotify:track:4OgSKgxZqty3qQMtKU44Ah,Nicki Minaj:The Crying Game,4OgSKgxZqty3qQMtKU44Ah
2015-10-31T13:24:38Z,1787,Four Pink Walls,Alessia Cara,Four Pink Walls,spotify:track:5cjHdvKZ0U6L4ideC87aDG,Alessia Cara:Four Pink Walls,5cjHdvKZ0U6L4ideC87aDG
2015-10-31T13:29:05Z,265226,The Crying Game,Nicki Minaj,The Pinkprint,spotify:track:4OgSKgxZqty3qQMtKU44Ah,Nicki Minaj:The Crying Game,4OgSKgxZqty3qQMtKU44Ah
2015-10-31T13:32:37Z,211880,Four Pink Walls,Alessia Cara,Four Pink Walls,spotify:track:5cjHdvKZ0U6L4ideC87aDG,Alessia Cara:Four Pink Walls,5cjHdvKZ0U6L4ideC87aDG
2015-10-31T13:34:16Z,99218,Kanye - Don Diablo Remix,The Chainsmokers,Kanye,spotify:track:3MNGCgYMF8IAQNGLjauG5M,The Chainsmokers:Kanye - Don Diablo Remix,3MNGCgYMF8IAQNGLjauG5M
2015-10-31T13:37:44Z,205879,Jumpman,Drake,What A Time To Be Alive,spotify:track:27GmP9AWRs744SzKcpJsTZ,Drake:Jumpman,27GmP9AWRs744SzKcpJsTZ
2015-10-31T13:42:27Z,216346,Around The World,Natalie La Rose,Around The World,spotify:track:5IxXl4qLDoh16PJ5E7lnql,Natalie La Rose:Around The World,5IxXl4qLDoh16PJ5E7lnql
2015-10-31T13:51:05Z,494134,Outlaws,Alessia Cara,Four Pink Walls,spotify:track:0rUBWKzPAwbXURGJkEvq7Y,Alessia Cara:Outlaws,0rUBWKzPAwbXURGJkEvq7Y
2015-10-31T13:54:16Z,190595,Right Hand,Drake,Right Hand,spotify:track:3lSR267IJfT54p0Gfuw7mi,Drake:Right Hand,3lSR267IJfT54p0Gfuw7mi
2015-10-31T13:59:33Z,267023,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
